X.locale,Address.AddressLine1,Address.AddressLine2,Address.City,Address.CountryName,Address.County,Address.FormattedAddress,Address.IntersectionDescription,Address.PostalCode,Address.Subdivision,AlternateIdentifier.ID,ID,IsDaylightSavingsTimeRecognized,LocationMilestones.LastRemodelDate,LocationMilestones.OpenDate,Name,OperatingHours..timeFormat,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,SubTypeDescription,TimeZone.TimeZoneCode,TimeZone.TimeZoneDescription,TimeZone.TimeZoneOffset.OffsetCode,TimeZone.TimeZoneOffset.OffsetHours,TypeCode,PhoneNumber,BeginTime.MF,Is24Hours.MF,IsOpen.MF,Summary.MF,ThruTime.MF,BeginTime.Sat,Is24Hours.Sat,IsOpen.Sat,Summary.Sat,ThruTime.Sat,BeginTime.Sun,Is24Hours.Sun,IsOpen.Sun,Summary.Sun,ThruTime.Sun,AllCapability
en-US,400 Oxford Exchange Blvd,,Oxford,United States,Calhoun,"400 Oxford Exchange Blvd, Oxford, AL 36203-3459",SEC I-20 & Golden Creek Rd,36203-3459,AL,T2153,2153,TRUE,,2006-07-19T12:00:00,Oxford,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(256) 231-2900,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Caffe', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,2640 Enterprise Dr,,Opelika,United States,Lee,"2640 Enterprise Dr, Opelika, AL 36801-1511",NWC I-85 & Hwy 280,36801-1511,AL,T1499,1499,TRUE,,2005-07-20T12:00:00,Opelika,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(334) 705-0152,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,1129 S Park St,,Carrollton,United States,Carroll,"1129 S Park St, Carrollton, GA 30117-4429",NWC US 27 & Hwy 166 Bypass,30117-4429,GA,T1073,1073,TRUE,,1997-07-23T12:00:00,Carrollton,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 838-9221,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,
en-US,555 Bullsboro Dr,,Newnan,United States,Coweta,"555 Bullsboro Dr, Newnan, GA 30265-1045",SWC I-85 & Rte 34,30265-1045,GA,T1223,1223,TRUE,2013-06-27T12:00:00,1999-10-06T12:00:00,Newnan,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 502-0294,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Caffe', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']"
en-US,1591 Bradley Park Dr,,Columbus,United States,Muscogee,"1591 Bradley Park Dr, Columbus, GA 31904-3071",NEC Bradley Pk & JR Allen Pkwy,31904-3071,GA,T1179,1179,TRUE,2004-10-17T12:00:00,1999-03-03T12:00:00,Columbus,12-hour,340,394,300,,EST,Eastern Std Time,UTC,-5,STR,(706) 321-0831,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Caffe', 'Mobile Kiosk', 'Photo Lab']"
en-US,1209 Peachtree Pkwy N,,Peachtree City,United States,Fayette,"1209 Peachtree Pkwy N, Peachtree City, GA 30269-1743",SEC Hwy 74 & Peachtree Pkwy,30269-1743,GA,T2129,2129,TRUE,2013-10-10T12:00:00,2006-07-19T12:00:00,Peachtree City,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 282-2165,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']"
en-US,2576 Berryhill Rd,,Montgomery,United States,Montgomery,"2576 Berryhill Rd, Montgomery, AL 36117-3564",SEC I-85 & Taylor Rd,36117-3564,AL,T1825,1825,TRUE,2014-04-03T12:00:00,2003-10-08T12:00:00,Montgomery,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(334) 356-6265,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,2950 Chapel Hill Rd,,Douglasville,United States,Douglas,"2950 Chapel Hill Rd, Douglasville, GA 30135-1708",SEC Chapel Hill & Timber Ridge,30135-1708,GA,T1172,1172,TRUE,,1998-10-07T12:00:00,Douglasville,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 947-5303,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Caffe']"
en-US,2754 Legends Pkwy,,Prattville,United States,Elmore,"2754 Legends Pkwy, Prattville, AL 36066-7748",SEC Hwy 82 & Cobbs Ford Rd,36066-7748,AL,T2274,2274,TRUE,,2007-07-25T12:00:00,Prattville,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(334) 290-6000,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']"
en-US,4616 Highway 280,,Birmingham,United States,Shelby,"4616 Highway 280, Birmingham, AL 35242-5028",SWC US 280 & River Rd,35242-5028,AL,T1772,1772,TRUE,,2000-10-04T12:00:00,Birmingham 280 Corridor,12-hour,340,394,300,SuperTarget,CST,Central Std Time,UTC,-6,STR,(205) 408-7687,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Caffe', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Super Target', 'Wine & Beer Available']"
